,Player Name,Average,Matches
588,S S J Brooks,0.0,2
589,J N Hamilton,25.0,4
590,R R S Cornwall,75.0,4
591,Ibrahim Zadran,150.0,4
592,Asghar Afghan,150.0,4
593,Rashid Khan*,0.0,2
594,Qais Ahmad,0.0,4
595,Zahir Khan,0.0,1
596,S Nadeem,0.0,2
597,H Klaasen,200.0,2
598,G F Linde,25.0,8
599,A Nortje,550.0,4
600,Mominul Haque*,40.0,5
601,Mohammad Rizwan,0.0,5
602,Naseem Shah,90.0,10
603,D P Sibley,0.0,2
604,Nasir Jamal,200.0,2
605,Amir Hamza,450.0,2
606,D J Mitchell,233.33333333333334,6
607,Z Crawley,500.0,1
608,O J D Pope,0.0,2
609,L H Ferguson,100.0,3
610,Abid Ali,116.66666666666667,6
611,H E van der Dussen,83.33333333333334,6
612,D Pretorius,166.66666666666669,6
613,T A Blundell,200.0,4
614,P J Malan,0.0,2
615,B E Hendricks,0.0,2
616,D Paterson,0.0,3
617,Saif Hassan,225.0,4
618,K A Jamieson,0.0,1
619,K T Kasuza,700.0,1
620,C R Ervine*,0.0,1
621,A Ndlovu,0.0,1
622,C K Tshuma,0.0,1
