,Player Name,Average,Matches
619,A Balbirnie,83.33333333333334,12
620,J Anderson,33.33333333333333,3
621,K J O'Brien*,154.54545454545453,22
622,A R McBrine,95.23809523809523,21
623,S W Poynter,100.0,2
624,C A Young,125.0,12
625,G J McCarter,120.0,15
626,S A Abbott,400.0,1
627,Raza Hasan,14.285714285714285,7
628,Zulfiqar Babar,0.0,1
629,P L S Gamage,76.92307692307693,13
630,Anshuman Rath,0.0,1
631,K D Shah,61.111111111111114,18
632,Aizaz Khan,75.0,4
633,A Vala,0.0,12
634,T P Ura,125.0,4
635,L Siaka,89.74358974358975,39
636,G O Jones,34.21052631578947,38
637,V V Morea,75.0,12
638,M D Dai,0.0,1
639,C J A Amini*,64.51612903225806,31
640,J N T Vare,180.64516129032256,31
641,W T Gavera,100.0,6
642,C J A Amini,53.84615384615385,13
643,C R Amini*,0.0,1
644,N Vanua,50.0,2
645,R V Uthappa,40.0,5
646,J R Hazlewood,0.0,1
647,N Dickwella,133.33333333333331,9
648,Sabbir Rahman,41.17647058823529,17
649,Mashrafe Mortaza*,22.22222222222222,27
650,Afsar Zazai,92.85714285714286,14
651,Jubair Hossain,115.90909090909092,44
652,S F Mire,0.0,6
653,Soumya Sarkar,200.0,2
654,A R Berenger,125.0,4
655,Rohan Mustafa,100.0,7
656,Saqib Ali,0.0,3
657,Saqlain Haider,0.0,3
658,Ahmed Raza*,0.0,4
659,Fahad Alhashmi,9.090909090909092,11
660,Shafiqullah,0.0,4
661,M J Henry,0.0,2
662,P J Cummins,400.0,1
663,Scotland,0.0,1
664,J L Carter,228.57142857142856,21
665,J O Holder*,118.18181818181819,11
666,J E Taylor,300.0,2
667,H D R L Thirimanne*,133.33333333333331,3
668,Khurram Khan,133.33333333333331,6
669,Amjad Javed,76.92307692307693,13
670,Mohammad Tauqir*,296.2962962962963,54
671,A M Guruge,0.0,4
672,Rahat Ali,198.11320754716982,53
673,P V D Chameera,128.57142857142858,7
674,Taijul Islam,50.0,28
675,T Mupariwa,18.75,16
676,Nasir Aziz,82.22222222222221,45
677,P H T Kaushal,33.33333333333333,21
678,Azhar Ali*,0.0,11
679,Mohammad Rizwan,66.66666666666666,3
680,Saad Nasim,100.0,17
681,Sami Aslam,5.0,20
682,Mohammad Rizwan,0.0,1
683,H Masakadza*,283.33333333333337,6
684,Babar Azam,0.0,1
685,Yasir Shah,459.99999999999994,5
686,J J Roy,325.0,4
687,S W Billings,233.33333333333334,3
688,A U Rashid,120.0,35
689,L E Plunkett,106.66666666666667,15
690,M J Santner,31.57894736842105,19
691,D J Willey,100.0,14
692,M A Wood,116.12903225806453,31
693,B M Wheeler,114.28571428571428,7
694,Liton Das,60.0,5
695,Mustafizur Rahman,60.0,5
696,A W Mathieson,150.0,8
697,J M Bairstow,160.0,5
698,D S Kulkarni,202.7027027027027,37
699,Liton Das,145.16129032258064,31
700,Mushfiqur Rahim,0.0,5
701,A M Rahane*,0.0,1
702,K M Jadhav,75.0,8
703,T A M Siriwardana,100.0,2
704,K Rabada,114.28571428571428,28
705,M K Pandey,16.666666666666664,6
706,Imad Wasim,0.0,5
707,S S Pathirana,111.90476190476191,42
708,R W Chakabva,92.3076923076923,39
709,D Wiese,33.33333333333333,12
710,G H Worker,0.0,7
711,J A Burns,0.0,1
712,S P D Smith*,0.0,2
713,M P Stoinis,400.0,1
714,R J W Topley,115.38461538461537,13
715,Aamer Yamin,37.5,8
716,B B Chari,150.0,6
717,Bilal Asif,133.33333333333331,3
718,Sarfaraz Ahmed*,80.0,5
719,W P Masakadza,100.0,2
720,T Muzarabani,100.0,1
721,Asghar Afghan*,75.0,4
722,Rashid Khan,0.0,1
723,T S Chisoro,85.71428571428571,21
724,A D S Fletcher,166.66666666666669,24
725,A D S Fletcher,152.94117647058823,34
726,J Blackwood,20.0,5
727,M N Samuels*,11.11111111111111,9
728,J N Mohammed,0.0,1
729,G S N F G Jayasuriya,0.0,1
730,M S Chapman,0.0,3
